Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Year,Month,Avg Price(CP+HP+LP),VWAP,Profit/Loss Percentage,Day_Perc_Change,trend
2019-09-24,1741.61,"1,790.61",1795.7,1735.55,4640000.0,2019,9,1757.62,1757.62,-0.02447207752198513,-0.01511030181018247,Slight or no change
2019-09-23,1785.3,"1,777.00",1792.7,1767.32,3140000.0,2019,9,1781.7733333333333,1781.7733333333335,-0.004938244080795541,0.02508598365879844,Slight or no change
2019-09-20,1794.16,"1,821.71",1830.63,1780.92,5560000.0,2019,9,1801.9033333333334,1801.9033333333334,-0.015009607466373823,0.004962751358315254,Slight or no change
2019-09-19,1821.5,"1,821.02",1832.57,1817.9,2080000.0,2019,9,1823.9899999999998,1823.9899999999998,0.0022228824843462656,0.015238328800107004,Slight or no change
2019-09-18,1817.46,"1,817.04",1822.06,1795.5,2540000.0,2019,9,1811.6733333333334,1811.6733333333334,-0.002792790321253144,-0.0022179522371671423,Slight or no change
2019-09-17,1822.55,"1,807.08",1823.99,1804.1,2029999.9999999998,2019,9,1816.8799999999999,1816.8799999999999,0.00813678201610764,0.0028006118429015903,Slight or no change
2019-09-16,1807.84,"1,824.02",1825.69,1800.2,3680000.0,2019,9,1811.243333333333,1811.243333333333,-0.01712570813443953,-0.008071109160242562,Slight or no change
2019-09-13,1839.34,"1,842.01",1846.12,1835.17,1970000.0,2019,9,1840.21,1840.21,-0.002283637547123776,0.01742410832817054,Slight or no change
2019-09-12,1843.55,"1,837.63",1853.66,1834.28,2820000.0,2019,9,1843.83,1843.83,0.011278174866565337,0.0022888644839997863,Slight or no change
2019-09-11,1822.99,"1,812.14",1833.42,1809.08,2430000.0,2019,9,1821.83,1821.83,0.0013402543187498585,-0.011152396192129266,Slight or no change
2019-09-10,1820.55,"1,822.75",1825.81,1805.34,2610000.0,2019,9,1817.2333333333333,1817.2333333333333,-0.0058972888852485625,-0.0013384604413628765,Slight or no change
2019-09-09,1831.35,"1,841.00",1850.0,1824.61,3000000.0,2019,9,1835.32,1835.32,-0.001178068295237049,0.005932273214138473,Slight or no change
2019-09-06,1833.51,"1,838.22",1840.65,1826.4,2500000.0,2019,9,1833.5199999999998,1833.5199999999995,-0.0039169455430483925,0.0011794577770498638,Slight or no change
2019-09-05,1840.72,"1,821.95",1842.0,1815.58,3330000.0,2019,9,1832.7666666666667,1832.7666666666667,0.02227010696315721,0.003932348337342129,Slight or no change
2019-09-04,1800.62,"1,805.00",1807.63,1796.23,2330000.0,2019,9,1801.493333333333,1801.493333333333,0.006022884727126432,-0.02178495371376421,Slight or no change
2019-09-03,1789.84,"1,770.00",1800.8,1768.0,3550000.0,2019,9,1786.2133333333331,1786.2133333333331,0.007628258899166214,-0.0059868267596716596,Slight or no change
2019-08-30,1776.29,"1,797.49",1799.74,1764.57,3060000.0,2019,8,1780.1999999999998,1780.1999999999996,-0.0056594267801165065,-0.00757050909578505,Slight or no change
2019-08-29,1786.4,"1,783.00",1798.55,1777.25,3020000.0,2019,8,1787.3999999999999,1787.4,0.012554910018421477,0.00569163818971008,Slight or no change
2019-08-28,1764.25,"1,755.00",1767.86,1744.05,2420000.0,2019,8,1758.72,1758.72,0.0013735717975060437,-0.012399238692342163,Slight or no change
2019-08-27,1761.83,"1,775.73",1779.4,1746.68,3030000.0,2019,8,1762.6366666666665,1762.6366666666668,-0.003979941996868037,-0.001371687685985612,Slight or no change
2019-08-26,1768.87,"1,766.91",1770.0,1743.51,3090000.0,2019,8,1760.7933333333333,1760.7933333333333,0.011002389090202444,0.003995845229108452,Slight or no change
2019-08-23,1749.62,"1,793.03",1804.9,1745.23,5280000.0,2019,8,1766.5833333333333,1766.5833333333333,-0.031003544528134704,-0.010882653897686057,Slight or no change
2019-08-22,1805.6,"1,828.00",1829.41,1800.1,2660000.0,2019,8,1811.7033333333336,1811.7033333333334,-0.009838007392215173,0.03199551902698872,Slight or no change
2019-08-21,1823.54,"1,819.39",1829.58,1815.0,2040000.0,2019,8,1822.7066666666667,1822.7066666666667,0.01230167982324654,0.009935755427558757,Slight or no change
2019-08-20,1801.38,"1,814.50",1816.82,1799.88,1930000.0,2019,8,1806.0266666666666,1806.0266666666666,-0.008116203775080821,-0.01215218750342728,Slight or no change
2019-08-19,1816.12,"1,818.08",1826.0,1812.61,2820000.0,2019,8,1818.243333333333,1818.2433333333329,0.013137562270929423,0.008182615550300198,Slight or no change
2019-08-16,1792.57,"1,792.89",1802.91,1784.55,3050000.0,2019,8,1793.3433333333332,1793.343333333333,0.009261761592685205,-0.012967204810254818,Slight or no change
2019-08-15,1776.12,"1,781.99",1788.0,1761.96,3810000.0,2019,8,1775.36,1775.36,0.0074647184280981155,-0.009176768550182124,Slight or no change
2019-08-14,1762.96,"1,793.01",1795.65,1757.21,4890000.0,2019,8,1771.9399999999998,1771.94,-0.0336450442351754,-0.0074094092741480155,Slight or no change
2019-08-13,1824.34,"1,783.00",1831.74,1780.0,4080000.0,2019,8,1812.0266666666666,1812.0266666666666,0.022085023418416425,0.03481644506965553,Slight or no change
2019-08-12,1784.92,"1,795.99",1800.98,1777.0,2910000.0,2019,8,1787.6333333333332,1787.6333333333334,-0.012536097987364242,-0.021607814332854525,Slight or no change
2019-08-09,1807.58,"1,828.95",1831.09,1802.22,2880000.0,2019,8,1813.63,1813.63,-0.013808793762855475,0.012695246845797037,Slight or no change
2019-08-08,1832.89,"1,806.00",1834.26,1798.11,3700000.0,2019,8,1821.7533333333333,1821.7533333333333,0.022019627523140406,0.01400214651633691,Slight or no change
2019-08-07,1793.4,"1,773.99",1798.93,1757.0,4530000.0,2019,8,1783.11,1783.11,0.003115508745238733,-0.021545210023514727,Slight or no change
2019-08-06,1787.83,"1,792.23",1793.77,1753.4,5070000.0,2019,8,1778.3333333333333,1778.3333333333333,0.012860242588364492,-0.003105832496933303,Slight or no change
2019-08-05,1765.13,"1,770.22",1788.67,1748.78,6060000.0,2019,8,1767.5266666666666,1767.5266666666666,-0.03187183256181298,-0.012696956645765978,Slight or no change
2019-08-02,1823.24,"1,845.07",1846.36,1808.02,4960000.0,2019,8,1825.8733333333332,1825.873333333333,-0.017290817756505577,0.03292108796519222,Slight or no change
2019-08-01,1855.32,"1,871.72",1897.92,1844.01,4710000.0,2019,8,1865.75,1865.75,-0.006138912994568206,0.017595050569316095,Slight or no change
2019-07-31,1866.78,"1,898.11",1899.55,1849.44,4470000.0,2019,7,1871.9233333333334,1871.9233333333334,-0.016723464996602634,0.00617683202897612,Slight or no change
2019-07-30,1898.53,"1,891.12",1909.89,1883.48,2910000.0,2019,7,1897.3,1897.3,-0.007278621663311497,0.017007895949174623,Slight or no change
