DHFL,IGL,PNB,TATAPOWER,VOLTAS,mov_avg_14,mov_std_14,Upper,Lower,Daily_Average_DHFL
467.75,1268.25,142.65,78.75,522.0,444.50000000000017,16.750510899211868,478.0010217984239,410.99897820157645,465.3
474.05,1251.85,144.3,79.15,521.0,446.157142857143,18.484857182433014,483.12685722200905,409.187428492277,473.8
490.95,1242.75,144.85,78.85,538.2,448.6035714285716,21.932461578197763,492.4684945849672,404.7386482721761,486.1333333333334
493.4,1241.55,141.0,76.95,520.05,451.2214285714287,24.958178205563396,501.1377849825555,401.3050721603019,493.2833333333333
503.4,1256.85,142.5,77.65,523.2,455.11785714285725,28.557995021890637,512.2338471866385,398.001867099076,502.4666666666667
505.2,1275.6,143.8,79.25,524.75,460.6428571428572,30.305615480803734,521.2540881044647,400.03162618124975,504.7
516.95,1275.0,144.45,80.1,526.8,468.54285714285714,29.467889023757472,527.4786351903721,409.6070790953422,512.8666666666667
520.85,1262.15,142.65,78.45,519.35,475.975,28.519944101250715,533.0148882025014,418.9351117974986,519.4499999999999
550.35,1318.75,143.6,78.35,522.7,483.9464285714286,32.61708179352162,549.1805921584719,418.71226498438534,541.9499999999999
556.0,1304.7,139.0,78.0,526.25,491.5892857142858,36.14398651212975,563.8772587385453,419.3013126900263,554.3000000000001
550.95,1311.3,138.95,77.35,531.55,498.91071428571433,37.1020328002671,573.1147798862485,424.70664868518014,551.5
544.3,1374.9,137.85,77.0,537.25,505.6214285714286,36.12676779962968,577.874964170688,433.3678929721693,547.4166666666666
548.3,1385.1,138.15,80.6,534.65,512.7321428571429,33.79359638442491,580.3193356259927,445.14495008829306,548.8499999999999
557.8,1427.85,141.5,81.0,562.5,520.0178571428572,31.49211505185974,583.0020872465767,457.03362703913774,556.4666666666667
552.1,1400.4,143.0,84.8,549.2,526.0428571428572,28.665067571891555,583.3729922866403,468.7127219990741,555.4833333333335
561.0,1428.85,145.25,85.25,545.35,532.2535714285715,25.810913495932606,583.8753984204367,480.6317444367063,560.7666666666667
568.3,1439.7,144.65,84.3,544.75,537.7785714285716,24.536697118693798,586.8519656659591,488.70517719118396,565.9333333333334
602.05,1443.25,144.75,83.7,552.05,545.5392857142858,26.52256063293069,598.5844069801472,492.49416444842444,595.8166666666667
609.4,1483.75,143.9,84.6,548.35,553.1107142857145,28.615085979329333,610.3408862443731,495.8805423270558,610.2333333333332
590.75,1498.65,144.8,84.0,549.15,559.2214285714288,26.664884097930372,612.5511967672895,505.891660375568,584.5333333333333
595.4,1516.35,141.8,83.1,535.1,564.8250000000003,25.30676976925077,615.4385395385018,514.2114604614987,587.65
568.2,1436.4,137.7,80.4,515.25,568.2071428571431,21.914289833373996,612.0357225238911,524.3785631903952,572.0666666666667
524.55,1453.75,137.65,81.85,509.65,566.3642857142859,24.467548591265814,615.2993828968175,517.4291885317542,536.6999999999999
556.4,1435.25,136.65,79.95,518.7,566.3928571428572,24.454745151801934,615.3023474464611,517.4833668392533,546.9333333333334
525.55,1409.45,132.65,78.15,512.55,564.5785714285715,26.541728497751823,617.6620284240752,511.4951144330679,535.1833333333333
534.35,1459.1,130.75,77.25,501.0,563.8678571428571,27.25026186989845,618.368380882654,509.36733340306023,528.3333333333334
549.65,1471.9,129.05,77.8,506.05,563.9642857142858,27.193264356705054,618.3508144276959,509.5777570008757,549.35
549.7,1475.55,129.6,77.4,522.95,563.3857142857144,27.419732006289234,618.2251782982928,508.5462502731359,552.6
553.85,1451.1,129.95,78.0,520.3,563.5107142857142,27.368266144537923,618.2472465747901,508.7741819966384,553.0166666666668
558.1,1438.55,132.35,78.95,518.9,563.3035714285714,27.399687423018893,618.1029462746093,508.50419658253367,562.9166666666666
546.55,1442.25,137.05,80.65,528.6,561.7499999999999,27.709461033539593,617.168922067079,506.3310779329207,552.1
544.7,1444.85,137.3,81.45,520.0,557.6535714285714,25.439622822295867,608.5328170731631,506.77432578397963,541.2166666666667
551.55,1487.1,137.0,81.55,528.45,553.5214285714285,20.631908766293922,594.7852461040163,512.2576110388407,552.2166666666667
526.15,1520.25,131.7,81.0,522.5,548.9071428571427,18.80860949695131,586.5243618510453,511.2899238632401,534.7166666666667
532.0,1528.3,133.8,81.7,535.45,544.3785714285714,13.689084847281002,571.7567411231333,517.0004017340094,533.1166666666667
537.8,1521.85,135.0,81.65,532.5,542.2071428571428,11.916017938745181,566.0391787346332,518.3751069796524,538.8833333333333
558.25,1523.25,133.85,81.95,531.75,544.6142857142856,11.470252974399369,567.5547916630844,521.6737797654869,553.8333333333334
591.85,1497.5,134.4,81.6,539.15,547.1464285714285,16.899959766517355,580.9463481044631,513.3465090383938,582.9166666666666
602.5,1573.75,130.9,81.9,537.45,552.6428571428571,21.281220117050317,595.2052973769578,510.0804169087565,598.2666666666668
594.35,1555.15,129.55,81.5,533.35,556.9285714285713,23.26319075183072,603.4549529322328,510.40218992490986,596.6999999999999
